"project_name"	"publication_year"	"publication_doi"	"site_name"	"latitude"	"longitude"	"geo_loc_name"	"sample_name"	"sample_host"	"sample_age"	"sample_age_doi"	"community_type"	"material"	"collection_date"	"archive"	"archive_project"	"archive_accession"
"1"	"Warinner2014"	2014	"10.1038/ng.2906"	"Dalheim"	51.565	8.84	"Germany"	"B61"	"Homo sapiens"	900	"10.1038/ng.2906"	"oral"	"dental calculus"	NA	"SRA"	"PRJNA216965"	"SRS473742,SRS473743,SRS473744,SRS473745"
"2"	"Warinner2014"	2014	"10.1038/ng.2906"	"Dalheim"	51.565	8.84	"Germany"	"G12"	"Homo sapiens"	900	"10.1038/ng.2906"	"oral"	"dental calculus"	NA	"SRA"	"PRJNA216965"	"SRS473747,SRS473746,SRS473748,SRS473749,SRS473750"
"3"	"Weyrich2017"	2017	"10.1038/nature21674"	"Gola Forest"	7.657	-10.841	"Sierra Leone"	"Chimp"	"Pan troglodytes"	100	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3067,3004"
"4"	"Weyrich2017"	2017	"10.1038/nature21674"	"El SidrÃ³n Cave"	43.386	-5.328	"Spain"	"ElSidron1"	"Homo sapiens neanderthalensis"	49000	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3011,2962"
"5"	"Weyrich2017"	2017	"10.1038/nature21674"	"El SidrÃ³n Cave"	43.386	-5.329	"Spain"	"ElSidron2"	"Homo sapiens neanderthalensis"	49000	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"2990,3014"
"6"	"Weyrich2017"	2017	"10.1038/nature21674"	"Spy Cave"	50.48	4.674	"Belgium"	"Spy1"	"Homo sapiens neanderthalensis"	35800	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"2952,2953"
"7"	"Weyrich2017"	2017	"10.1038/nature21674"	"Spy Cave"	50.48	4.674	"Belgium"	"Spy2"	"Homo sapiens neanderthalensis"	36000	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3034,3035"
"8"	"Weyrich2017"	2017	"10.1038/nature21674"	"Dudka"	53.96	21.86	"Poland"	"EuroHG1"	"Homo sapiens"	7600	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"2946,2978"
"9"	"Weyrich2017"	2017	"10.1038/nature21674"	"Dudka"	53.96	21.86	"Poland"	"EuroHG2"	"Homo sapiens"	7600	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"2974,3041"
"10"	"Weyrich2017"	2017	"10.1038/nature21674"	"Stuttgart-MÃ¼hlhausen I"	48.839	9.227	"Germany"	"EuroLBK1"	"Homo sapiens"	7400	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"2955,2956"
"11"	"Weyrich2017"	2017	"10.1038/nature21674"	"Stuttgart-MÃ¼hlhausen I"	48.839	9.227	"Germany"	"EuroLBK2"	"Homo sapiens"	7400	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3072,3073"
"12"	"Weyrich2017"	2017	"10.1038/nature21674"	"Stuttgart-MÃ¼hlhausen I"	48.839	9.227	"Germany"	"EuroLBK3"	"Homo sapiens"	7400	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3080,3071"
"13"	"Weyrich2017"	2017	"10.1038/nature21674"	"Al Khiday"	15.441	32.381	"Sudan"	"Sudan1"	"Homo sapiens"	5000	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"2945,3005"
"14"	"Weyrich2017"	2017	"10.1038/nature21674"	"Al Khiday"	15.441	32.381	"Sudan"	"Sudan2"	"Homo sapiens"	5000	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3082,3062"
"15"	"Weyrich2017"	2017	"10.1038/nature21674"	"Near Cape Town"	NA	NA	"South Africa"	"AfrSF1"	"Homo sapiens"	2300	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3068,3069"
"16"	"Weyrich2017"	2017	"10.1038/nature21674"	"Near Cape Town"	NA	NA	"South Africa"	"AfrSF2"	"Homo sapiens"	3800	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3070,3060"
"17"	"Weyrich2017"	2017	"10.1038/nature21674"	"Jewbury"	53.962	-1.075	"United Kingdom"	"UrbMed1"	"Homo sapiens"	800	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3044,3050"
"18"	"Weyrich2017"	2017	"10.1038/nature21674"	"Jewbury"	53.962	-1.075	"United Kingdom"	"UrbWar2"	"Homo sapiens"	800	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3054,2931"
"19"	"Weyrich2017"	2017	"10.1038/nature21674"	"Near Cape Town"	NA	NA	"South Africa"	"AfrPP2"	"Homo sapiens"	600	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3076,3077"
"20"	"Weyrich2017"	2017	"10.1038/nature21674"	"Near Cape Town"	NA	NA	"South Africa"	"AfrPP1"	"Homo sapiens"	600	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"2992,2993"
"21"	"Weyrich2017"	2017	"10.1038/nature21674"	"Hettstedt Gymnasium"	51.646	11.512	"Germany"	"IndRev1"	"Homo sapiens"	200	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"3047,2939"
"22"	"Weyrich2017"	2017	"10.1038/nature21674"	"Hettstedt Gymnasium"	51.646	11.512	"Germany"	"IndRev2"	"Homo sapiens"	200	"10.1038/nature21674"	"oral"	"dental calculus"	NA	"OAGR"	"65"	"2940,3049"
"23"	"Velsko2018"	2018	"10.1186/s40168-019-0717-3"	"Radcliffe Infirmary"	51.752	-1.257	"United Kingdom"	"CS01"	"Homo sapiens"	200	"10.1186/s40168-019-0717-3"	"oral"	"dental calculus"	NA	"ENA"	"PRJEB30331"	"ERS2985742,ERS2985790,ERS3881508"
"24"	"Velsko2018"	2018	"10.1186/s40168-019-0717-3"	"Radcliffe Infirmary"	51.752	-1.257	"United Kingdom"	"CS02"	"Homo sapiens"	200	"10.1186/s40168-019-0717-3"	"oral"	"dental calculus"	NA	"ENA"	"PRJEB30331"	"ERS2985743,ERS2985791,ERS3881509"
"25"	"Velsko2018"	2018	"10.1186/s40168-019-0717-3"	"Radcliffe Infirmary"	51.752	-1.257	"United Kingdom"	"CS03"	"Homo sapiens"	200	"10.1186/s40168-019-0717-3"	"oral"	"dental calculus"	NA	"ENA"	"PRJEB30331"	"ERS2985744,ERS2985792,ERS3881510"
"26"	"Velsko2018"	2018	"10.1186/s40168-019-0717-3"	"Radcliffe Infirmary"	51.752	-1.257	"United Kingdom"	"CS04"	"Homo sapiens"	200	"10.1186/s40168-019-0717-3"	"oral"	"dental calculus"	NA	"ENA"	"PRJEB30331"	"ERS2985745,ERS2985793,ERS3881511"
"27"	"Velsko2018"	2018	"10.1186/s40168-019-0717-3"	"Radcliffe Infirmary"	51.752	-1.257	"United Kingdom"	"CS05"	"Homo sapiens"	200	"10.1186/s40168-019-0717-3"	"oral"	"dental calculus"	NA	"ENA"	"PRJEB30331"	"ERS2985794,ERS3881512"
"28"	"Velsko2018"	2018	"10.1186/s40168-019-0717-3"	"Radcliffe Infirmary"	51.752	-1.257	"United Kingdom"	"CS06"	"Homo sapiens"	200	"10.1186/s40168-019-0717-3"	"oral"	"dental calculus"	NA	"ENA"	"PRJEB30331"	"ERS2985795,ERS3881513"
"29"	"Velsko2018"	2018	"10.1186/s40168-019-0717-3"	"Radcliffe Infirmary"	51.752	-1.257	"United Kingdom"	"CS07"	"Homo sapiens"	200	"10.1186/s40168-019-0717-3"	"oral"	"dental calculus"	NA	"ENA"	"PRJEB30331"	"ERS2985746,ERS2985796,ERS3881514"
