,index,project_name,publication_year,publication_doi,site_name,latitude,longitude,geo_loc_name,sample_name,sample_host,sample_age,sample_age_doi,community_type,material,collection_date,archive,archive_project,archive_accession,SRR_accession
0,1,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,B61,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473742,SRR957738
1,1,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,B61,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473743,SRR957739
2,1,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,B61,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473744,SRR957740
3,1,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,B61,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473745,SRR957741
4,2,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,G12,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473747,SRR957742
5,2,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,G12,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473746,SRR957743
6,2,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,G12,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473748,SRR957744
7,2,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,G12,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473749,SRR957745
8,2,Warinner2014,2014,10.1038/ng.2906,Dalheim,51.565,8.84,Germany,G12,Homo sapiens,900,10.1038/ng.2906,oral,dental calculus,,SRA,PRJNA216965,SRS473750,SRR957746
9,76,Mann2018,2018,10.1038/s41598-018-28091-9,Camino del Molino,38.102,-1.865,Spain,C214,Homo sapiens,4700,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078201,SRR6877286
10,77,Mann2018,2018,10.1038/s41598-018-28091-9,Camino del Molino,38.102,-1.865,Spain,C53,Homo sapiens,4700,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078204,SRR6877284
11,78,Mann2018,2018,10.1038/s41598-018-28091-9,Anse a la Gourde,16.254,-61.203,Guadeloupe,F1948,Homo sapiens,800,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078198,SRR6877290
12,79,Mann2018,2018,10.1038/s41598-018-28091-9,Anse a la Gourde,16.254,-61.203,Guadeloupe,F349A,Homo sapiens,800,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078200,SRR6877288
13,80,Mann2018,2018,10.1038/s41598-018-28091-9,Kh̦vsg̦l,49.66,99.61,Mongolia,H10,Homo sapiens,4400,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078195,SRR6877292
14,81,Mann2018,2018,10.1038/s41598-018-28091-9,Kh̦vsg̦l,49.66,99.61,Mongolia,H24,Homo sapiens,4400,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078181,SRR6877323
15,82,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT01,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078183,SRR6877304
16,82,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT01,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078182,SRR6877305
17,83,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT02,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078176,SRR6877392
18,84,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT03,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078178,SRR6877308
19,85,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT04,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078185,SRR6877303
20,86,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT05,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078115,SRR6877372
21,86,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT05,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078117,SRR6877370
22,87,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT06,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078111,SRR6877376
23,88,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT07,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078113,SRR6877374
24,89,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT08,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078109,SRR6877378
25,89,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT08,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078099,SRR6877388
26,90,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT09,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078097,SRR6877390
27,90,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT09,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078104,SRR6877384
28,91,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT10,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078101,SRR6877386
29,92,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT11,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078105,SRR6877382
30,93,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT12,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078133,SRR6877354
31,94,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT13,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078131,SRR6877356
32,94,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT13,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078137,SRR6877350
33,95,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT14,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078134,SRR6877352
34,95,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT14,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078129,SRR6877358
35,96,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT15,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078120,SRR6877367
36,97,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT16,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078122,SRR6877365
37,98,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT17,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078124,SRR6877363
38,99,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT18,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078126,SRR6877361
39,100,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT19,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078118,SRR6877369
40,101,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT20,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078148,SRR6877338
41,102,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT21,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078150,SRR6877336
42,103,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT22,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078151,SRR6877334
43,104,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT23,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078155,SRR6877332
44,105,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT24,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078156,SRR6877330
45,105,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT24,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078146,SRR6877342
46,106,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT25,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078197,SRR6877344
47,106,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT25,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078141,SRR6877346
48,107,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT26,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078139,SRR6877348
49,107,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT26,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078145,SRR6877340
50,108,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT27,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078093,SRR6877395
51,109,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT28,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078091,SRR6877397
52,109,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT28,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078089,SRR6877399
53,110,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT29,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078087,SRR6877401
54,110,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT29,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078085,SRR6877403
55,111,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT30,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078193,SRR6877294
56,112,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT31,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078158,SRR6877328
57,112,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT31,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078147,SRR6877339
58,113,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT32,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078192,SRR6877296
59,113,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT32,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078187,SRR6877300
60,114,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT33,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078170,SRR6877316
61,115,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT34,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078167,SRR6877318
62,116,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT35,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078165,SRR6877320
63,117,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT36,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078163,SRR6877322
64,117,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT36,Homo sapiens,1000,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078172,SRR6877313
65,118,Mann2018,2018,10.1038/s41598-018-28091-9,Norris Farms,40.23,-90.143,USA,NF217,Homo sapiens,700,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078173,SRR6877312
66,119,Mann2018,2018,10.1038/s41598-018-28091-9,Norris Farms,40.23,-90.143,USA,NF47,Homo sapiens,700,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078175,SRR6877310
67,120,Mann2018,2018,10.1038/s41598-018-28091-9,Middenbeemster,52.548,4.912,Netherlands,S108,Homo sapiens,300,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078160,SRR6877326
