Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,Library Name,BioSampleModel,geo_loc_name_country,geo_loc_name_country_continent,Collection_Date,lat_lon,geo_loc_name,sex,Host,Isolate,Ethnicity,AGE,Biomaterial_provider,SAMPLE_TYPE,tissue,health_state,cell_line,cell_subtype,cell_type,culture_collection,dev_stage,disease,disease_stage,karyotype,Library,PHENOTYPE,Population,RACE,env_biome,env_feature,samp_size,env_material,Isolation_source,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Alias,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Name,SRA_accession,title,Depth,geographic_location_(country_and/or_sea),INSDC_center_alias,Investigation_type,project_name,Description,INSTRUMENT_MODEL,library_layout,library_source,misc_param,platform,processing_location (run),Source_material_ID,environment_(biome),environment_(feature),environment_(material),geographic_location_(latitude),geographic_location_(longitude),Sequencing_method,host_sex,samp_collect_device,geographic_location_(elevation),soil_environmental_package,BIOME,Ammonium_Nitrogen,Boron_Hot_CaCl2,colour,Conductivity,Crop_rotation_1yr_since_present,Crop_rotation_2yrs_since_present,Crop_rotation_3yrs_since_present,Crop_rotation_4yrs_since_present,Crop_rotation_5yrs_since_present,current_land_use,Date_since_change_in_Land_Use,DTPA_Copper,DTPA_Iron,DTPA_Manganese,DTPA_Zinc,Env_package,Exc_Aluminium,Exc_Calcium,Exc_Magnesium,Exc_Potassium,Exc_Sodium,feature,fire_intensity_if_known,Gravel_(_>2.0_mm),history/agrochemical_additions,history/extreme_events,history/flooding,history/previous_land_use,host_subject_id,links_to_additional_analysis,material,Nitrate_Nitrogen,Other_comments,pH_Level_(CaCl2),pH_Level_(H2O),Phosphorus_Colwell,Potassium_Colwell,profile_position_(BASE),Sample_ID,slope_aspect,slope_gradient,soil_taxonomic/FAO_classification,soil_taxonomic/local_classification,Sulphur,texture,tillage,total_organic_carbon,Vegetation_Dom_Grasses,Vegetation_Dom_Shrubs,Vegetation_Dom_Trees,Vegetation_Total_cover,water_content_of_soil,history/fire,Host_disease,body_site,Clay_(<2_µm),Course_Sand_(200-2000_µm)
SRR988082,WGS,PRJNA219368,SAMN02354108,GEORGIA INSTITUTE OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352040,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T6,SRP029969,202,11457980350,7037245148,,"MIMS.me,MIGS/MIMS/MIMARKS.soil",USA,North America,2010-10,34.975667 N 97.519 W,"USA: Okalahoma\, Kessler Farm Field Laboratory (KFFL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-15cm,,,metagenome,Oklahoma soil ten years warming,,,,,,,,,,,,,,,,soil corer,,,grassland biome,,,,,,,,,,,,,,,,MIGS/MIMS/MIMARKS.soil,,,,,,plot 6 warming,,,,,,,,,Soil core,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR988087,WGS,PRJNA219368,SAMN02354104,GEORGIA INSTITUTE OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352036,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T3,SRP029969,202,10495378236,6444092584,,"MIMS.me,MIGS/MIMS/MIMARKS.soil",USA,North America,2010-10,34.975667 N 97.519 W,"USA: Okalahoma\, Kessler Farm Field Laboratory (KFFL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-15cm,,,metagenome,Oklahoma soil ten years warming,,,,,,,,,,,,,,,,soil corer,,,Grassland,,,,,,,,,,,,,,,,MIGS/MIMS/MIMARKS.soil,,,,,,plot 3 warming,,,,,,,,,Soil core,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR988089,WGS,PRJNA219368,SAMN02354102,GEORGIA INSTITUTE OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352034,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T1,SRP029969,202,10811020406,6646986574,,"MIMS.me,MIGS/MIMS/MIMARKS.soil",USA,North America,2010-10,34.975667 N 97.519 W,"USA: Okalahoma\, Kessler Farm Field Laboratory (KFFL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-15cm,,,metagenome,Oklahoma soil ten years warming,,,,,,,,,,,,,,,,soil corer,,,Grassland,,,,,,,,,,,,,,,,MIGS/MIMS/MIMARKS.soil,,,,,,plot 1 warming,,,,,,,,,Soil core,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR988090,WGS,PRJNA219368,SAMN02354101,GEORGIA INSTITUTE OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352031,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C6,SRP029969,200,17628035000,10932889876,,"MIMS.me,MIGS/MIMS/MIMARKS.soil",USA,North America,2010-10,34.975667 N 97.519 W,"USA: Okalahoma\, Kessler Farm Field Laboratory (KFFL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-15cm,,,metagenome,Oklahoma soil ten years warming,,,,,,,,,,,,,,,,soil corer,,,Grassland,,,,,,,,,,,,,,,,MIGS/MIMS/MIMARKS.soil,,,,,,plot 6 control,,,,,,,,,Soil core,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR988091,WGS,PRJNA219368,SAMN02354100,GEORGIA INSTITUTE OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352030,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C5,SRP029969,200,13489496600,8324243057,,"MIMS.me,MIGS/MIMS/MIMARKS.soil",USA,North America,2010-10,34.975667 N 97.519 W,"USA: Okalahoma\, Kessler Farm Field Laboratory (KFFL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-15cm,,,metagenome,Oklahoma soil ten years warming,,,,,,,,,,,,,,,,soil corer,,,Grassland,,,,,,,,,,,,,,,,MIGS/MIMS/MIMARKS.soil,,,,,,plot 5 control,,,,,,,,,Soil core,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR988092,WGS,PRJNA219368,SAMN02354099,GEORGIA INSTITUTE OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352029,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C4,SRP029969,200,15036267400,9270838063,,"MIMS.me,MIGS/MIMS/MIMARKS.soil",USA,North America,2010-10,34.975667 N 97.519 W,"USA: Okalahoma\, Kessler Farm Field Laboratory (KFFL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-15cm,,,metagenome,Oklahoma soil ten years warming,,,,,,,,,,,,,,,,soil corer,,,grassland biome,,,,,,,,,,,,,,,,MIGS/MIMS/MIMARKS.soil,,,,,,plot 4 control,,,,,,,,,Soil core,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR988094,WGS,PRJNA219368,SAMN02354097,GEORGIA INSTITUTE OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352027,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C3.rep1,SRP029969,200,9663279600,6006840789,,"MIMS.me,MIGS/MIMS/MIMARKS.soil",USA,North America,2010-10,34.975667 N 97.519 W,"USA: Okalahoma\, Kessler Farm Field Laboratory (KFFL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-15cm,,,metagenome,Oklahoma soil ten years warming,,,,,,,,,,,,,,,,soil corer,,,grassland biome,,,,,,,,,,,,,,,,MIGS/MIMS/MIMARKS.soil,,,,,,"plot 3 control\, replicate 1",,,,,,,,,Soil core,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1519031,WGS,PRJNA255439,SAMN02919193,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656232,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 099,SRP044400,101,4439642658,2854823580,DNA library,"MIMS.me,MIGS/MIMS/MIMARKS.human-oral",USA,North America,not collected,not collected,USA: Maryland,,Homo sapiens,,non-caucasian,,,,,,,,,,,,,,,,,,not applicable,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,
SRR1519044,WGS,PRJNA255439,SAMN02919194,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656233,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 104,SRP044400,101,3739194528,2327907587,DNA library,"MIMS.me,MIGS/MIMS/MIMARKS.human-oral",USA,North America,not collected,not collected,USA: Maryland,,Homo sapiens,,caucasian,,,,,,,,,,,,,,,,,,not applicable,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,
SRR1519046,WGS,PRJNA255439,SAMN02919196,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656247,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 107,SRP044400,101,5185647141,3402958887,DNA library,"MIMS.me,MIGS/MIMS/MIMARKS.human-oral",USA,North America,not collected,not collected,USA: Maryland,,Homo sapiens,,non-caucasian,,,,,,,,,,,,,,,,,,not applicable,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,
SRR1519048,WGS,PRJNA255439,SAMN02919198,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656249,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 114,SRP044400,101,4166963060,2566838821,DNA library,"MIMS.me,MIGS/MIMS/MIMARKS.human-oral",USA,North America,not collected,not collected,USA: Maryland,,Homo sapiens,,non-caucasian,,,,,,,,,,,,,,,,,,not applicable,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,
SRR1519049,WGS,PRJNA255439,SAMN02919199,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656250,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 158,SRP044400,101,5186404540,3354043159,DNA library,"MIMS.me,MIGS/MIMS/MIMARKS.human-oral",USA,North America,not collected,not collected,USA: Maryland,,Homo sapiens,,caucasian,,,,,,,,,,,,,,,,,,not applicable,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,
SRR1519050,WGS,PRJNA255439,SAMN02919200,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656251,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 207,SRP044400,101,3749779227,2557324636,DNA library,"MIMS.me,MIGS/MIMS/MIMARKS.human-oral",USA,North America,not collected,not collected,USA: Maryland,,Homo sapiens,,non-caucasian,,,,,,,,,,,,,,,,,,not applicable,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,
SRR2229976,WGS,PRJNA293758,SAMN04015020,ARIZONA STATE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1178520,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-08-25T00:00:00Z,NF-217C-SG,SRP063105,69,316672,199543,NF-217C-SG,Human,,,,,,not collected,,NF-217C-SG,,not collected,Illinois State Museum,,dental calculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2240834,WGS,PRJNA275349,SAMN03351547,JCVI,public,"sra,unknown_contigs",ncbi,ncbi.public,SRX1182816,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2015-09-08T00:00:00Z,700122152_zo7_G_DNA_Supragingival_plaque,SRP056641,202,5775594706,2524540613,700122152_zo7_G_DNA_Supragingival_plaque,Metagenome or environmental,uncalculated,uncalculated,missing,missing,missing,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,ORAL,,,,,,,,,,,,,,,,,,,,,,,,604812005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700122152_zo7_G_DNA_Supragingival_plaque,,,,,,,,,,,,,,,,,,
SRR1952513,WGS,PRJNA275349,SAMN03351702,JCVI,public,"sra,unknown_contigs",ncbi,ncbi.public,SRX978446,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2015-04-09T00:00:00Z,700172125_zo7_G_DNA_Supragingival_plaque,SRP056641,202,6475337250,2551990769,700172125_zo7_G_DNA_Supragingival_plaque,Metagenome or environmental,uncalculated,uncalculated,missing,missing,missing,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,ORAL,,,,,,,,,,,,,,,,,,,,,,,,486505039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700172125_zo7_G_DNA_Supragingival_plaque,,,,,,,,,,,,,,,,,,
