material,sample_name,Run_accession,Type,archive_project,geo_loc_name
dental calculus,B61,SRR957738,aMetagenome,PRJNA216965,Germany
dental calculus,B61,SRR957739,aMetagenome,PRJNA216965,Germany
dental calculus,B61,SRR957740,aMetagenome,PRJNA216965,Germany
dental calculus,B61,SRR957741,aMetagenome,PRJNA216965,Germany
dental calculus,G12,SRR957742,aMetagenome,PRJNA216965,Germany
dental calculus,G12,SRR957743,aMetagenome,PRJNA216965,Germany
dental calculus,G12,SRR957744,aMetagenome,PRJNA216965,Germany
dental calculus,G12,SRR957745,aMetagenome,PRJNA216965,Germany
dental calculus,G12,SRR957746,aMetagenome,PRJNA216965,Germany
dental calculus,C214,SRR6877286,aMetagenome,PRJNA445215,Spain
dental calculus,C53,SRR6877284,aMetagenome,PRJNA445215,Spain
dental calculus,F1948,SRR6877290,aMetagenome,PRJNA445215,Guadeloupe
dental calculus,F349A,SRR6877288,aMetagenome,PRJNA445215,Guadeloupe
dental calculus,H10,SRR6877292,aMetagenome,PRJNA445215,Mongolia
dental calculus,H24,SRR6877323,aMetagenome,PRJNA445215,Mongolia
dental calculus,KT01,SRR6877304,aMetagenome,PRJNA445215,Ireland
dental calculus,KT01,SRR6877305,aMetagenome,PRJNA445215,Ireland
dental calculus,KT02,SRR6877392,aMetagenome,PRJNA445215,Ireland
dental calculus,KT03,SRR6877308,aMetagenome,PRJNA445215,Ireland
dental calculus,KT04,SRR6877303,aMetagenome,PRJNA445215,Ireland
dental calculus,KT05,SRR6877372,aMetagenome,PRJNA445215,Ireland
dental calculus,KT05,SRR6877370,aMetagenome,PRJNA445215,Ireland
dental calculus,KT06,SRR6877376,aMetagenome,PRJNA445215,Ireland
dental calculus,KT07,SRR6877374,aMetagenome,PRJNA445215,Ireland
dental calculus,KT08,SRR6877378,aMetagenome,PRJNA445215,Ireland
dental calculus,KT08,SRR6877388,aMetagenome,PRJNA445215,Ireland
dental calculus,KT09,SRR6877390,aMetagenome,PRJNA445215,Ireland
dental calculus,KT09,SRR6877384,aMetagenome,PRJNA445215,Ireland
dental calculus,KT10,SRR6877386,aMetagenome,PRJNA445215,Ireland
dental calculus,KT11,SRR6877382,aMetagenome,PRJNA445215,Ireland
dental calculus,KT12,SRR6877354,aMetagenome,PRJNA445215,Ireland
dental calculus,KT13,SRR6877356,aMetagenome,PRJNA445215,Ireland
dental calculus,KT13,SRR6877350,aMetagenome,PRJNA445215,Ireland
dental calculus,KT14,SRR6877352,aMetagenome,PRJNA445215,Ireland
dental calculus,KT14,SRR6877358,aMetagenome,PRJNA445215,Ireland
dental calculus,KT15,SRR6877367,aMetagenome,PRJNA445215,Ireland
dental calculus,KT16,SRR6877365,aMetagenome,PRJNA445215,Ireland
