"project_name"	"publication_year"	"publication_doi"	"site_name"	"latitude"	"longitude"	"geo_loc_name"	"sample_name"	"sample_host"	"sample_age"	"sample_age_doi"	"singlegenome_domain"	"singlegenome_species"	"material"	"genome_type"	"collection_date"	"archive"	"data_type"	"archive_project"	"archive_accession"
"1"	"Schuenemann2013"	2013	"10.1126/science.1238286"	"Sigtuna"	59.618	17.726	"Sweden"	"3077"	"Homo sapiens"	900	"10.1126/science.1238286"	"bacteria"	"Mycobacterium leprae"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA200950"	"SRS418834"
"2"	"Schuenemann2013"	2013	"10.1126/science.1238286"	"St. JÃ¸rgen cemetery, Odense"	55.399	10.406	"Denmark"	"Jorgen_625"	"Homo sapiens"	600	"10.1126/science.1238286"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"SRA"	"raw"	"PRJNA200950"	"SRS418854"
"3"	"Schuenemann2013"	2013	"10.1126/science.1238286"	"Refshale"	56.193	9.394	"Denmark"	"Refshale_16"	"Homo sapiens"	900	"10.1126/science.1238286"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"SRA"	"raw"	"PRJNA200950"	"SRS419262,SRS418858,SRS418859"
"4"	"Schuenemann2013"	2013	"10.1126/science.1238286"	"St. Mary Magdalene leprosarium, Winchester"	51.059	-1.308	"United Kingdom"	"SK2"	"Homo sapiens"	700	"10.1126/science.1238286"	"bacteria"	"Mycobacterium leprae"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA200950"	"SRS418843"
"5"	"Schuenemann2013"	2013	"10.1126/science.1238286"	"St. Mary Magdalene leprosarium, Winchester"	52.059	-1.308	"United Kingdom"	"SK8"	"Homo sapiens"	1000	"10.1126/science.1238286"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"SRA"	"raw"	"PRJNA200950"	"SRS418845"
"6"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Odense St. JÃ¸rgen cemetery"	55.399	10.406	"Denmark"	"Jorgen_404"	"Homo sapiens"	700	"10.1371/journal.ppat.1006997"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19769"	"ERS1574247"
"7"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Odense St. JÃ¸rgen cemetery"	55.399	10.406	"Denmark"	"Jorgen_427"	"Homo sapiens"	700	"10.1371/journal.ppat.1006997"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19769"	"ERS1574249"
"8"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Odense St. JÃ¸rgen cemetery"	55.399	10.406	"Denmark"	"Jorgen_507"	"Homo sapiens"	800	"10.1371/journal.ppat.1006997"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19769"	"ERS1574253"
"9"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Odense St. JÃ¸rgen cemetery"	55.399	10.406	"Denmark"	"Jorgen_533"	"Homo sapiens"	800	"10.1371/journal.ppat.1006997"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19769"	"ERS1574254"
"10"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Odense St. JÃ¸rgen cemetery"	55.399	10.406	"Denmark"	"Jorgen_722"	"Homo sapiens"	700	"10.1371/journal.ppat.1006997"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19769"	"ERS1574259"
"11"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Odense St. JÃ¸rgen cemetery"	55.399	10.406	"Denmark"	"Jorgen_749"	"Homo sapiens"	700	"10.1371/journal.ppat.1006997"	"bacteria"	"Mycobacterium leprae"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19769"	"ERS1574262"
"12"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Szentes-KistÅ‘ke"	46.715	20.281	"Hungary"	"SK11"	"Homo sapiens"	1300	"10.1016/j.meegid.2015.02.001"	"bacteria"	"Mycobacterium leprae"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA417381"	"SRS2667046"
"13"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Necropoli Vicenne Campochiaro"	41.564	14.498	"Italy"	"T18"	"Homo sapiens"	1300	"10.1016/j.meegid.2015.02.001"	"bacteria"	"Mycobacterium leprae"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA417381"	"SRS2667044"
"14"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"PruÅ¡Ã¡nky"	48.831	16.982	"Czech Republic"	"Body 188"	"Homo sapiens"	1100	"10.1016/j.meegid.2015.02.001"	"bacteria"	"Mycobacterium leprae"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA417381"	"SRS2667047"
"15"	"Schuenemann2018"	2018	"10.1371/journal.ppat.1006997"	"Great Chesterford"	52.063	0.193	"United Kingdom"	"GC96"	"Homo sapiens"	1500	"10.1371/journal.pone.0124282"	"bacteria"	"Mycobacterium leprae"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA417381"	"SRS2667045"
"16"	"Warinner2014"	2014	"10.1038/ng.2906"	"Dalheim"	51.565	8.84	"Germany"	"G12"	"Homo sapiens"	900	"10.1038/ng.2906"	"bacteria"	"Tannerella forsythia"	"tooth"	"chromosome"	NA	"SRA"	"raw"	"PRJNA216965"	"SRS473747,SRS473746,SRS473748,SRS473749,SRS473750"
"17"	"Bos2014"	2014	"10.1038/nature13591"	"El Yaral"	-17.41	-71.092	"Peru"	"64"	"Homo sapiens"	900	"10.1038/nature13591"	"bacteria"	"Mycobacterium pinnipedii"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA244165"	"SRS592075"
"18"	"Bos2014"	2014	"10.1038/nature13591"	"El Algodonal"	-17.583	-71.21	"Peru"	"58"	"Homo sapiens"	1000	"10.1038/nature13591"	"bacteria"	"Mycobacterium pinnipedii"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA244165"	"SRS591992"
"19"	"Bos2014"	2014	"10.1038/nature13591"	"Chiribaya Alta"	-17.621	-71.269	"Peru"	"54"	"Homo sapiens"	900	"10.1038/nature13591"	"bacteria"	"Mycobacterium pinnipedii"	"bone"	"chromosome"	NA	"SRA"	"raw"	"PRJNA244165"	"SRS591994"
"20"	"AndradesValtuena2017"	2017	"10.1016/j.cub.2017.10.025"	"Rasshevatskiy"	45.569	41.03	"Russia"	"RK1001"	"Homo sapiens"	4200	"10.1016/j.cub.2017.10.025"	"bacteria"	"Yersinia pestis"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19335"	"ERS1892069"
"21"	"AndradesValtuena2017"	2017	"10.1016/j.cub.2017.10.025"	"Beli Manastir-Popova zemlja"	45.77	18.61	"Croatia"	"GEN72"	"Homo sapiens"	4200	"10.1016/j.cub.2017.10.025"	"bacteria"	"Yersinia pestis"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19335"	"ERS1892068"
"22"	"AndradesValtuena2017"	2017	"10.1016/j.cub.2017.10.025"	"Gyvakarai"	55.913	24.89	"Lithuania"	"Gyvakarai1"	"Homo sapiens"	4000	"10.1016/j.cub.2017.10.025"	"bacteria"	"Yersinia pestis"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19335"	"ERS1892064"
"23"	"AndradesValtuena2017"	2017	"10.1016/j.cub.2017.10.025"	"Kunila"	58.616	23.796	"Estonia"	"KunilaII"	"Homo sapiens"	4000	"10.1016/j.cub.2017.10.025"	"bacteria"	"Yersinia pestis"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19335"	"ERS1892065"
"24"	"AndradesValtuena2017"	2017	"10.1016/j.cub.2017.10.025"	"Haunstetten Unterer Talweg 85"	48.318	10.891	"Germany"	"1343UnTal85"	"Homo sapiens"	3800	"10.1371/journal.pone.0139705"	"bacteria"	"Yersinia pestis"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19335"	"ERS1892067"
"25"	"AndradesValtuena2017"	2017	"10.1016/j.cub.2017.10.025"	"Haunstetten Postillionstrasse 6"	48.308	10.893	"Germany"	"6Post"	"Homo sapiens"	3600	"10.1371/journal.pone.0139705"	"bacteria"	"Yersinia pestis"	"tooth"	"chromosome"	NA	"ENA"	"raw"	"PRJEB19335"	"ERS1892066"
