SRS473742	SRR957738
SRS473743	SRR957739
SRS473744	SRR957740
SRS473745	SRR957741
SRS473747	SRR957742
SRS473746	SRR957743
SRS473748	SRR957744
SRS473749	SRR957745
SRS473750	SRR957746
SRS3078201	SRR6877286
SRS3078204	SRR6877284
SRS3078198	SRR6877290
SRS3078200	SRR6877288
SRS3078195	SRR6877292
SRS3078181	SRR6877323
SRS3078183	SRR6877304
SRS3078182	SRR6877305
SRS3078176	SRR6877392
SRS3078178	SRR6877308
SRS3078185	SRR6877303
SRS3078115	SRR6877372
SRS3078117	SRR6877370
SRS3078111	SRR6877376
SRS3078113	SRR6877374
SRS3078109	SRR6877378
SRS3078099	SRR6877388
SRS3078097	SRR6877390
SRS3078104	SRR6877384
SRS3078101	SRR6877386
SRS3078105	SRR6877382
SRS3078133	SRR6877354
SRS3078131	SRR6877356
SRS3078137	SRR6877350
SRS3078134	SRR6877352
SRS3078129	SRR6877358
SRS3078120	SRR6877367
SRS3078122	SRR6877365
SRS3078124	SRR6877363
SRS3078126	SRR6877361
SRS3078118	SRR6877369
SRS3078148	SRR6877338
SRS3078150	SRR6877336
SRS3078151	SRR6877334
SRS3078155	SRR6877332
SRS3078156	SRR6877330
SRS3078146	SRR6877342
SRS3078197	SRR6877344
SRS3078141	SRR6877346
SRS3078139	SRR6877348
SRS3078145	SRR6877340
SRS3078093	SRR6877395
SRS3078091	SRR6877397
SRS3078089	SRR6877399
SRS3078087	SRR6877401
SRS3078085	SRR6877403
SRS3078193	SRR6877294
SRS3078158	SRR6877328
SRS3078147	SRR6877339
SRS3078192	SRR6877296
SRS3078187	SRR6877300
SRS3078170	SRR6877316
SRS3078167	SRR6877318
SRS3078165	SRR6877320
SRS3078163	SRR6877322
SRS3078172	SRR6877313
SRS3078173	SRR6877312
SRS3078175	SRR6877310
SRS3078160	SRR6877326
SRS3078162	SRR6877324
SRS3078206	SRR6877282
SRS3078095	SRR6877393
SRS3078202	SRR6877287
SRS3078203	SRR6877285
SRS3078196	SRR6877291
SRS3078161	SRR6877325
SRS3078189	SRR6877298
SRS3078180	SRR6877306
SRS3078177	SRR6877309
SRS3078179	SRR6877307
SRS3078184	SRR6877302
SRS3078114	SRR6877373
SRS3078110	SRR6877377
SRS3078116	SRR6877371
SRS3078112	SRR6877375
SRS3078108	SRR6877379
SRS3078098	SRR6877389
SRS3078100	SRR6877387
SRS3078102	SRR6877385
SRS3078103	SRR6877383
SRS3078106	SRR6877381
SRS3078132	SRR6877355
SRS3078130	SRR6877357
SRS3078135	SRR6877353
SRS3078136	SRR6877351
SRS3078121	SRR6877366
SRS3078128	SRR6877359
SRS3078123	SRR6877364
SRS3078125	SRR6877362
SRS3078127	SRR6877360
SRS3078119	SRR6877368
SRS3078149	SRR6877337
SRS3078152	SRR6877335
SRS3078153	SRR6877333
SRS3078154	SRR6877331
SRS3078143	SRR6877343
SRS3078157	SRR6877329
SRS3078140	SRR6877347
SRS3078142	SRR6877345
SRS3078144	SRR6877341
SRS3078138	SRR6877349
SRS3078094	SRR6877394
SRS3078090	SRR6877398
SRS3078092	SRR6877396
SRS3078086	SRR6877402
SRS3078088	SRR6877400
SRS3078190	SRR6877295
SRS3078188	SRR6877299
SRS3078194	SRR6877293
SRS3078186	SRR6877301
SRS3078191	SRR6877297
SRS3078169	SRR6877315
SRS3078168	SRR6877317
SRS3078166	SRR6877319
SRS3078164	SRR6877321
SRS3078107	SRR6877380
SRS3078171	SRR6877314
SRS3078174	SRR6877311
SRS3078159	SRR6877327
SRS3078199	SRR6877289
SRS3078205	SRR6877283
SRS3078096	SRR6877391
SRS4625244	SRR8899218
SRS4625243	SRR8899219
SRS4625242	SRR8899220
SRS4625241	SRR8899221
SRS4625248	SRR8899214
SRS4625247	SRR8899215
SRS4625246	SRR8899216
SRS4625245	SRR8899217
SRS4625250	SRR8899212
SRS4625249	SRR8899213
SRS4625239	SRR8899223
SRS4625238	SRR8899224
SRS4625237	SRR8899225
SRS4625236	SRR8899226
SRS4625235	SRR8899227
SRS4625234	SRR8899228
SRS4625233	SRR8899229
SRS4625232	SRR8899230
SRS4625240	SRR8899222
SRS1170472	SRR5581855
SRS2213343	SRR5581856
SRS2213341	SRR5581858
SRS2213347	SRR5581851
SRS2213345	SRR5581853
SRS2213344	SRR5581854
SRS2213350	SRR5581849
SRS2213346	SRR5581852
SRS2213342	SRR5581857
SRS1052916	SRR2229976
SRS1052918	SRR2229974
SRS1052917	SRR2229975
SRS1052915	SRR2229977
SRS5211976	SRR9898613
SRS2390527	SRR5875728
SRS2390527	SRR5875729
SRS2390528	SRR5875726
SRS2390528	SRR5875727
SRS2390529	SRR5875724
SRS2390529	SRR5875725
SRS2390530	SRR5875722
SRS2390530	SRR5875723
SRS2390526	SRR5875730
SRS2390526	SRR5875731
SRS2390532	SRR5875718
SRS2390532	SRR5875719
SRS2390531	SRR5875720
SRS2390531	SRR5875721
SRS2390534	SRR5875714
SRS2390534	SRR5875715
SRS3118688	SRR6933823
SRS3118688	SRR6933824
SRS3118688	SRR6933825
SRS3118688	SRR6933826
SRS3118688	SRR6933823
SRS3118688	SRR6933824
SRS3118688	SRR6933825
SRS3118688	SRR6933826
SRS3118688	SRR6933823
SRS3118688	SRR6933824
SRS3118688	SRR6933825
SRS3118688	SRR6933826
SRS3118688	SRR6933823
SRS3118688	SRR6933824
SRS3118688	SRR6933825
SRS3118688	SRR6933826
SRS3151295	SRR6974014
SRS3151295	SRR6974015
SRS3151295	SRR6974016
SRS3151295	SRR6974017
SRS3151295	SRR6974014
SRS3151295	SRR6974015
SRS3151295	SRR6974016
SRS3151295	SRR6974017
SRS3151295	SRR6974014
SRS3151295	SRR6974015
SRS3151295	SRR6974016
SRS3151295	SRR6974017
SRS3151295	SRR6974014
SRS3151295	SRR6974015
SRS3151295	SRR6974016
SRS3151295	SRR6974017
SRS3118689	SRR6933819
SRS3118689	SRR6933820
SRS3118689	SRR6933821
SRS3118689	SRR6933822
SRS3118689	SRR6933819
SRS3118689	SRR6933820
SRS3118689	SRR6933821
SRS3118689	SRR6933822
SRS3118689	SRR6933819
SRS3118689	SRR6933820
SRS3118689	SRR6933821
SRS3118689	SRR6933822
SRS3118689	SRR6933819
SRS3118689	SRR6933820
SRS3118689	SRR6933821
SRS3118689	SRR6933822
SRS428959	SRR866660
SRS428961	SRR866662
SRS428962	SRR866663
SRS428963	SRR866664
SRS428960	SRR866665
SRS428964	SRR866666
SRS428958	SRR867031
SRS428958	SRR867032
SRS428958	SRR867033
SRS428958	SRR867034
SRS428958	SRR867035
SRS428972	SRR867036
SRS428972	SRR867037
SRS428972	SRR867038
SRS428972	SRR867039
SRS428972	SRR867040
SRS1631715	SRR4047198
SRS1631715	SRR4047199
SRS1631716	SRR4047200
SRS1631716	SRR4047201
SRS1631717	SRR4047202
SRS1631717	SRR4047203
SRS1631719	SRR4047205
SRS1631719	SRR4047206
SRS1631719	SRR4047207
SRS1631714	SRR4047196
SRS1631714	SRR4047197
SRS1631724	SRR4047212
SRS1631724	SRR4047213
SRS1631724	SRR4047214
SRS1631727	SRR4047217
SRS1631727	SRR4047218
SRS1631727	SRR4047219
SRS1631728	SRR4047220
SRS1631728	SRR4047221
SRS1631729	SRR4047222
SRS1631729	SRR4047223
SRS1631730	SRR4047224
SRS1631730	SRR4047225
ERS3882395	
ERS2159299	
ERS2159300	
ERS2159301	
ERS2159302	
ERS2159303	
